name,cate_1,cate_2
프린트카페숭실대,커피점/카페,커피전문점/카페/다방
아이스조아,패스트푸드,아이스크림판매
얼음왕국아이스크림할인점상도동2,패스트푸드,아이스크림판매
루체테플라워케이크,제과제빵떡케익,케익전문점
고기러버,한식,갈비/삼겹살
백미네아이스크림,패스트푸드,아이스크림판매
뜸들이다,패스트푸드,도시락전문점
자휴정,커피점/카페,커피전문점/카페/다방
벤치와인,유흥주점,빠/카페/스탠드빠
우경해물칼국수,분식,국수/만두/칼국수
비비엣,별식/퓨전요리,동남아음식전문점
댕쁘앙,커피점/카페,애견카페
진진김밥,분식,라면김밥분식
작은섬,일식/수산물,음식점-일식
아이스조아,패스트푸드,아이스크림판매
먹돼지,한식,갈비/삼겹살
돼지게티,양식,스파게티전문점
상도타코야끼,분식,스낵
간식생각,분식,스낵
위드커피,커피점/카페,커피전문점/카페/다방
교촌치킨,닭/오리요리,후라이드/양념치킨
빽다방,커피점/카페,커피전문점/카페/다방
앙러뷰케이크,제과제빵떡케익,케익전문점
배떡,분식,떡볶이전문
상도양꼬치,유흥주점,꼬치구이전문점
고기극찬,한식,갈비/삼겹살
놀부자정육식당,한식,갈비/삼겹살
750엠,커피점/카페,생과일주스전문점
아마도,유흥주점,기타일반유흥주점
제일주당,유흥주점,기타일반유흥주점
모녀당,커피점/카페,커피전문점/카페/다방
카페,커피점/카페,커피전문점/카페/다방
브라운필상도힐스테이트점,커피점/카페,커피전문점/카페/다방
브라운필빵공장,제과제빵떡케익,제과점
카페,커피점/카페,커피전문점/카페/다방
잔디속에있다고상상을해,커피점/카페,커피전문점/카페/다방
개구리,유흥주점,룸살롱/단란주점
브롱스,패스트푸드,피자전문
젠,커피점/카페,커피전문점/카페/다방
프레드피자,패스트푸드,피자전문
긴자료코숭실대입,일식/수산물,음식점-일식
팽여사버섯오리명가,한식,한식/백반/한정식
버거앤프라이즈,패스트푸드,피자전문
비빔밥,별식/퓨전요리,죽전문점
개러지로스터,커피점/카페,커피전문점/카페/다방
버블호떡찰붕어빵,패스트푸드,피자전문
숑숑돈까스서울,양식,돈가스전문점
아이스크림할인점와와,제과제빵떡케익,떡전문
너랑나랑,양식,정통양식/경양식
웨이사이드,커피점/카페,커피전문점/카페/다방
국민피자,패스트푸드,피자전문
킹하우스,한식,한식/백반/한정식
카페,커피점/카페,커피전문점/카페/다방
마이요거트립,제과제빵떡케익,떡전문
